=================================================================
           NETWORK PERFORMANCE SUMMARY REPORT
           Generated on: 2026-09-21 12:03:08
=================================================================

[1. HOST AGGREGATED METRICS]
--------------------------------------------------------------------------------
Target Host          | Sent   | Recv   | Loss %   | Min (ms)  | Max (ms)  | Avg (ms) 
172.16.32.83         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.84         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.85         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.86         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.87         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.88         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.89         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.90         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.91         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.92         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.93         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.94         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.95         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.96         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.97         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.98         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.99         | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.100        | 23     | 23     | 0.0%     | 1.02      | 4.78      | 1.75     
172.16.32.101        | 23     | 23     | 0.0%     | 0.98      | 4.15      | 1.65     
172.16.32.102        | 23     | 23     | 0.0%     | 0.99      | 3.23      | 1.61     
172.16.32.103        | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.104        | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.105        | 23     | 23     | 0.0%     | 1.16      | 3.97      | 1.69     
172.16.32.106        | 23     | 23     | 0.0%     | 1.05      | 3.4       | 1.75     
172.16.32.107        | 23     | 23     | 0.0%     | 0.96      | 3.35      | 1.51     
172.16.32.108        | 23     | 23     | 0.0%     | 0.99      | 2.83      | 1.66     
172.16.32.109        | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.110        | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.111        | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.112        | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.113        | 23     | 23     | 0.0%     | 1.03      | 3.32      | 1.8      
172.16.32.114        | 23     | 23     | 0.0%     | 1.05      | 4.53      | 1.71     
172.16.32.115        | 23     | 23     | 0.0%     | 0.92      | 3.32      | 1.62     
172.16.32.116        | 23     | 23     | 0.0%     | 1.04      | 2.82      | 1.55     
172.16.32.117        | 23     | 23     | 0.0%     | 1.04      | 4.62      | 1.72     
172.16.32.118        | 23     | 23     | 0.0%     | 1.03      | 2.86      | 1.57     
172.16.32.119        | 23     | 23     | 0.0%     | 0.95      | 3.19      | 1.51     
172.16.32.120        | 23     | 23     | 0.0%     | 1.05      | 7.87      | 2.01     
172.16.32.121        | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.122        | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.123        | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.124        | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.125        | 23     | 23     | 0.0%     | 1.07      | 2.63      | 1.55     
172.16.32.126        | 23     | 23     | 0.0%     | 0.96      | 2.66      | 1.45     
172.16.32.127        | 23     | 23     | 0.0%     | 1.15      | 2.78      | 1.75     
172.16.32.128        | 23     | 23     | 0.0%     | 1.04      | 3.97      | 1.51     
172.16.32.129        | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.130        | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.131        | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.132        | 12     | 0      | 100.0%   | -         | -         | -        
